2019-04-26 15:22:18.521 00001 Controller!: Controller.ready end!
2019-04-26 15:22:33.898 00001 Controller!: Controller.ready start!
2019-04-26 15:22:33.907 00001 Controller!: Controller.ready end!
2019-04-26 15:24:20.815 00001 PointCollection: 获取到角色血条:Point{x=848, y=121}
2019-04-26 15:24:20.822 00001 PointCollection: 抓取到boss坐标
2019-04-26 15:24:47.768 00001 PointCollection: 获取到角色血条:Point{x=848, y=121}
2019-04-26 15:24:47.776 00001 PointCollection: 抓取到boss坐标
2019-04-26 15:24:53.841 00001 PointCollection: 获取到角色血条:Point{x=848, y=121}
2019-04-26 15:24:53.850 00001 PointCollection: 抓取到boss坐标
2019-04-26 15:27:50.822 00001 PointCollection: 获取到角色血条:Point{x=848, y=121}
2019-04-26 15:27:50.832 00001 PointCollection: 抓取到boss坐标
2019-04-26 15:28:06.501 00001 PointCollection: 获取到角色血条:Point{x=848, y=121}
2019-04-26 15:28:06.512 00001 PointCollection: 抓取到boss坐标
2019-04-26 15:28:26.162 00001 PointCollection: 获取到角色血条:Point{x=848, y=121}
2019-04-26 15:28:26.169 00001 PointCollection: 抓取到boss坐标
2019-04-26 15:34:18.498 00001 PointCollection: 获取到角色血条失败:Point{x=-1, y=-1}
2019-04-26 15:34:25.374 00001 PointCollection: 获取到角色血条:Point{x=812, y=121}
2019-04-26 15:34:25.384 00001 PointCollection: 抓取到boss坐标
2019-04-26 15:40:03.153 00001 PointCollection: 获取到角色血条:Point{x=812, y=121}
2019-04-26 15:40:03.161 00001 PointCollection: 抓取到boss坐标
